OriginalTweet,clean_text,Sentiment,length
We have a Whatsapp group in my apartment building. ItÂs currently being used to track shipment dates and times of toilet paper to our local supermarket. Because 2020. #Covid_19 #Sydney,whatsapp group apartment building currently used track shipment date time toilet paper local supermarket,1,104
"@kevinmornings @thekevinryder @JensenKarp @alliemackay , I get the #coronavirus is a big deal, but why stock up on TP? I donÂt get it?? Stock up on water and food and meds. TP should be on the bottom of the list. ?????",kevinmornings thekevinryder jensenkarp alliemackay get big deal stock tp get stock water food med tp bottom list,1,112
"All you crazies out there panic buying, please donÂt forget about your petÂs food. #Covid_19",crazy panic buying please forget pet food,0,41
? People with no disposable income cannot afford to panic-stock 14 days worth of food and goods. Please consider a no-contact drop off of non-perishables to your local food pantry or donate some money to @FeedingAmerica. #coronavirus #COVID19,people disposable income cannot afford panic stock day worth food good please consider contact drop non perishable local food pantry donate money feedingamerica,2,160
Consumers in the U.S. have been slow to embrace online grocery shopping until now. But that mentality is starting to change in the era of #coronavirus. @SPGMarketIntel's @KatieArcieri reports: https://t.co/bWSBXnRqFc https://t.co/ucV82rKRbt,consumer u slow embrace online grocery shopping mentality starting change era spgmarketintel katiearcieri report,2,112
"All Americans should be concerned w/ stock markets. 
LIQUIDITY &amp; CREDIT. 
Lack of liquidity can cause a credit crisis &amp; everything will freeze. 
-No medicine 
-No food 
-No supplies 
-Empty stores. 

#CoronaVirusUpdate #coronavirus 
@realDonaldTrump @SpeakerPelosi",american concerned w stock market liquidity amp credit lack liquidity cause credit crisis amp everything freeze medicine food supply empty store realdonaldtrump speakerpelosi,0,174
"CDC urges elderly to stock up on food, stay home amid #coronavirus fears  https://t.co/yi0YqCABQP",cdc urge elderly stock food stay home amid fear,0,47
"who can't afford to stock up and elderly people are now stuck while you have 7 packets of toilet roll, 50 soaps and food rotting in the fridge. Apparently there's been war in some shops in Dublin, people making off with entire shelves and cans of beans thrown. Cop on. #Covid_19",afford stock elderly people stuck packet toilet roll soap food rotting fridge apparently war shop dublin people making entire shelf can bean thrown cop,0,151
"Smartphones are the main devices for online shopping during peaks - seen at @DigitalCityFest today. Thanks @markbodoano!?? 

I reckon #retailers with mobile-responsive websites are likely to benefit the most from this #coronavirus #lockdown

Thoughts??

#unifiedcommerce #DCF2020 https://t.co/1VnwBtvUQE",smartphones main device online shopping peak seen digitalcityfest today thanks markbodoano reckon mobile responsive website likely benefit thought,2,146
Grocery store was total insanity. The stores are rationing toilet paper. Everybody was buying that &amp; soap. Did people not wash their hands or wipe their butts before this?? Oh &amp; don't get me started on old/fat people on those motorized scooters... #coronavirus #wereallgonnadie,grocery store total insanity store rationing toilet paper everybody buying amp soap people not wash hand wipe butt oh amp get started old fat people motorized scooter,0,166
"Informoval jsem zÃ¡stupce vÂech obchodnÃ­ch ?et?zc? o aktuÃ¡lnÃ­ch opat?enÃ­ch vlÃ¡dy. ?et?zce jsou zÃ¡sobovÃ¡ny na 95 %, takÂe nenÃ­ d?vod panika?it. ZÃ¡soby potravin fakt nedojdou. NenÃ­ opravdu d?vod dnes obsadit a vykoupit supermarkety.",informoval jsem z stupce v ech obchodn ch et zc aktu ln ch opat en ch vl dy et zce jsou z sobov ny na tak e nen vod panika z soby potravin fakt nedojdou nen opravdu vod dnes obsadit vykoupit supermarkety,1,203
State of the suburban grocery store during the time of #Covid_19: Thanksgiving + Super Bowl-level business. Not a single shopping cart available 1/ https://t.co/4kL1oFom14,state suburban grocery store time thanksgiving super bowl level business not single shopping cart available,2,107
"Americans Stock Up On Food as COVID-19 Concerns Rise. They are stocking up their pantries, as they prepare for a large-scale epidemic. According to figures from Neilsen published this week, sales of medical supplies and non-perishable food have increased.. https://t.co/OeXMucIn1Y",american stock food covid concern rise stocking pantry prepare large scale epidemic according figure neilsen published week sale medical supply non perishable food increased,2,173
"For those complaining about schools not being closed when tomorrow you use the tube, bus, train, go to a supermarket, pub etc you could quite easily get #Covid_19 just by going about your every day life.",complaining school not closed tomorrow use tube bus train go supermarket pub etc could quite easily get going every day life,2,124
Please check in on any elderly neighbours (preferably by phone). They will most probably have seen or heard the news about #coronavirus &amp; may be too scared to go out &amp; not have access to online shopping. Make sure they have supplies. #BeKind,please check elderly neighbour preferably phone probably seen heard news amp may scared go amp not access online shopping make sure supply,2,138
Just got a message a few hours ago that my school is closing down for the next month and the classes will be online. Everyone's shopping cart is packed to the brim. This is actually getting serious. #Covid_19 https://t.co/eCkXMM9pxO,got message hour ago school closing next month class online everyone shopping cart packed brim actually getting serious,0,119
"@DavieC726 @brianstelter Thank God SOMEONE is ""worried about the financials"", Dave. 

""The financials"" pay people's bills. Put food on the table. 

Many people rely on the stock market for their retirement income. 

And yes: #coronavirus IS a ",daviec brianstelter thank god someone worried financials dave financials pay people bill put food table many people rely stock market retirement income yes,2,155
"Real question, should I stock up on things I already have (dog food, cat food, litter, tampons, etc.)? How insane is this #coronavirus thing going to get? IÂm not worried about the virus, IÂm worried about being told to stay put with no supplies...",real question stock thing already dog food cat food litter tampon etc insane thing going get not worried virus worried told stay put supply,0,139
"Also, dont buy whatever they are selling because it will give them an ego boost. Stop making them feel like you are patronizing their deeds, that itÂs okay to sell necessities in higher prices because we will buy it anyway. #COVID2019",also dont buy whatever selling give ego boost stop making feel like patronizing deed okay sell necessity higher price buy anyway,2,128
"Seeing resellers sell masks, alcohols and other necessities in prices which are 5-15x more expensive compared to SRPs makes me wonder how can people be so heartless, insensitive, and opportunistic in these times of crisis. #COVID2019",seeing resellers sell mask alcohol necessity price x expensive compared srps make wonder people heartless insensitive opportunistic time crisis,0,143
People in masks queuing outside a supermarket in Rome. Glad to see people are cautious and taking measures #italy #CoronavirusPandemic #Covid_19 #SocialDistancing https://t.co/4XSeeSyv4s,people mask queuing outside supermarket rome glad see people cautious taking measure,2,84
"Fuel at the lowest price in years however utility bills and fuel prices remain the same. 

SomeoneÂs making some serious cash out of this global crises. #Covid_19 #COVID19 #CoronavirusPandemic",fuel lowest price year however utility bill fuel price remain someone making serious cash global crisis,0,103
"When freaking out and buying all the supplies it's important to remember the facts, and that you can buy all the regular soap too!

#CoronavirusPandemic
#Covid_19

https://t.co/uGwMqBtGBj",freaking buying supply important remember fact buy regular soap,0,63
Experts saying stock up two weeks worth of food and supplies Half of people live paycheck to paycheck How are they suppose to do that with no money 1 5 trillion handout to big banks but nothing for the struggling They didn t ask But how do we pay for it,expert saying stock two week worth food supply half people live paycheck paycheck suppose money trillion handout big bank nothing struggling ask pay,2,148
"Shelves at my local grocery store are bare or ransacked. But it is nice to see everyone being friendly. Letting other people in front of them in line, helping them find certain items and even making some toilet paper jokes. #Covid_19 #remaincalmandkind",shelf local grocery store bare ransacked nice see everyone friendly letting people front line helping find certain item even making toilet paper joke,2,149
"I'm going to say this right now!
What is wrong with people over this #Covid_19 
When people are fighting over shit paper or Food.
Is sick to me!  I go to the store and i can't shop for anything! 
Because panic feared idiot fools think world is coming to the end!",going say right wrong people people fighting shit paper food sick go store shop anything panic feared idiot fool think world coming end,0,135
"Went to the grocery store over lunch (just to pickup puppy food) and WOW!

Thursday afternoon and the place is rammed. 
1/3
#Covid_19 #CoronavirusPandemic https://t.co/0RhlgZbAXH",went grocery store lunch pickup puppy food wow thursday afternoon place rammed,2,78
"DONT BUY THINGS IN BULK

The stores won't run out of food and you can still make trips to the grocery store when needed. You are just hurting everyone by doing it.

These are precautions to control the virus early. We are still at an early stage in IRE. Do not panic.

#Covid_19",dont buy thing bulk store run food still make trip grocery store needed hurting everyone precaution control virus early still early stage ire not panic,2,151
"Government advice - no indoor gatherings more than 100.
Every supermarket right now... #Covid_19 #COVID2019IRELAND https://t.co/ppTWkZQ3L8",government advice indoor gathering every supermarket right ireland,0,66
"#coronavirus scare: In Kashmir, people say Âbye byeÂ to Chinese food

In #Srinagar restaurants, guests demand traditional wazwan instead of Manchurian, Chowmin, fried rice etc
https://t.co/KH6qqFV8RK
#Corona 
#COVID19 
#CoronaVirusUpdates",scare kashmir people say bye bye chinese food restaurant guest demand traditional wazwan instead manchurian chowmin fried rice etc,0,130
We always use recycled toilet tissue. Luckily for us this was all that was left in our local supermarket. WeÂre not stockpiling thereÂs no need. #Covid_19 #CoronavirusPandemic #toiletpaper #stoppanicbuying #Recycle #minimiseourhumanfootprint #mohf https://t.co/3f8pC8wwp1,always use recycled toilet tissue luckily u left local supermarket not stockpiling need,2,87
We should stock up on food in case cities we live in shutdown supermarkets because of this damn #Coronavirus ? ehhh,stock food case city live shutdown supermarket damn ehhh,0,56
My husband just went to the store to stock up just in case. We are gonna gain 10 lbs from all eating all this junk food and I'm looking forward to it. #coronavirus #CoronavirusPandemic,husband went store stock case gonna gain lb eating junk food looking forward,2,76
"Just stood in line at the supermarket, let's see how long this takes.
#coronavirus #covid19 #covid_19",stood line supermarket let see long take,1,40
Just want to take time and say prepare for covid-19 stock up on food and cleaning supplies and stay safe. Hopefully we get a cure ASAP,want take time say prepare covid stock food cleaning supply stay safe hopefully get cure asap,2,93
"This is not a joke, next week in Croatia all restaurants, cofee shops, and shopping citys are going to be closed, even schools are going to be online, i hope that everyone will be safe #Covid_19 #CoronavirusPandemic by mary",not joke next week croatia restaurant cofee shop shopping city going closed even school going online hope everyone safe mary,2,124
"Airlines: Plane ticket prices are dropping because of the coronavirus.Â 

My cheap ass making bookings coz if I die I better die in Paris
#CoronavirusPandemic #Covid_19",airline plane ticket price dropping coronavirus cheap as making booking coz die better die paris,0,96
"Oh the irony of being in a crowded place to stock up on food and supplies so you can stay home to avoid crowds of people.

Kroger #Covid_19 #TrumptheWorstPresidentEVER",oh irony crowded place stock food supply stay home avoid crowd people kroger,0,76
There's some amount of clowns aroujnd the place when a supermarket chain had to put this out ? #Covid_19 #CoronaVirusUpdate #CoronaOutbreak #CoronavirusPandemic #Coronavirusireland #COVID19 #COVID19ireland https://t.co/b2uy19xeVX,amount clown aroujnd place supermarket chain put ireland,1,56
"After the had reported of COVID-19 infection in Turkey??, hand disinfectantsÂs prices increased FOUR THOUSAND PERCENT. And supermarketsÂs pasta and legumes or something stocks are over in metropoles.
#pandemia #BREAKING #Covid_19 #coronaturkiye #coronavirus #COVD19 #COVID19 https://t.co/jue7v1xqBR",reported covid infection turkey hand disinfectant price increased four thousand percent supermarket pasta legume something stock metropoles,2,139
"#Oil prices will keep falling until Russia or Saudi Arabia hit Âpain point.Â
#bakarainvest 
#Covid_19
https://t.co/fYGry4dFV1",price keep falling russia saudi arabia hit pain point,0,53
"The world has shifted left, right and centre and yet the Pakistani brands continue to skyrocket their BS prices. Are they delusional?! ????? #Covid_19",world shifted left right centre yet pakistani brand continue skyrocket b price delusional,1,89
"The pasta shelves in my local supermarket. Pasta with a bog roll sauce anyone? 
#Covid_19 #coronavirus #panicbuying https://t.co/ph9Mdt4RLA",pasta shelf local supermarket pasta bog roll sauce anyone,1,57
"Older Lady at the Grocery Store was telling me how wonderful @realDonaldTrump is, and we should all listen to him because he is such a nice man.  I told her she was being Duped &amp; to be Safe #Covid_19",older lady grocery store telling wonderful realdonaldtrump listen nice man told duped amp safe,2,94
Why is toilet paper so important for #coronavirus?? If I'm stuck at home I'm going to stock up on food so I can fuckin eat!,toilet paper important stuck home going stock food fuckin eat,2,61
Hey there @MattHancock @BorisJohnson my son has it so we have to self isolate. No online shopping delivery dates for 7 days. Am sure you said this wouldnÂt happen on @BBCBreakfast ????? advice please. Do we starve or do we spread it ?????????? #coronavirus,hey matthancock borisjohnson son self isolate online shopping delivery date day sure said happen bbcbreakfast advice please starve spread,0,137
"The basics of social distancing:
Keep two metres away from other people. Unless you're in the supermarket, in which case, pile on! Have you all lost your minds? Stoppit! #COVID19",basic social distancing keep two metre away people unless supermarket case pile lost mind stoppit,0,97
"MODERN SHIPPING CONTAINER STALLS AT DISCOUNTED PRICES. Both 40ft with5or6stalls&amp;20ft with 3 stalls. Best competitive market rates
? +254741299181 
?:Kelvin@bertriconcontainers.com jkia #UhuruKenyatta Ksh 500 #PassarisAbortionKills baringo embu Kenya airways #Covid_19 #PressPass https://t.co/qNi6tChS62",modern shipping container stall discounted price ft stall amp ft stall best competitive market rate kelvin bertriconcontainers com jkia ksh baringo embu kenya airway,2,165
"Just saw this on Amazon: SHIELD AGAINST CORONA-VIRUS: THE BEST GUIDE EVER by RAMOND MOROE https://t.co/cKw2ce8nVe via @amazon
#Corona
#CoronaVirus
#Eureka_Online_Shopping",saw amazon shield corona virus best guide ever ramond moroe via amazon,2,70
Serious ? Best way to disinfect produce and other items brought home from grocery store. Watched people pick up and replace fruit yesterday like it was NBD!? Is running water over them sufficient!? Tips welcome!! ?? #Covid_19 #AskABC2020 @ChrisEgan5,serious best way disinfect produce item brought home grocery store watched people pick replace fruit yesterday like nbd running water sufficient tip welcome chrisegan,2,166
"Worried about coronavirus? You want to stock your pantry? Check out this guide about healthy #non_perishable_food. 
#CoronavirusPandemic #Covid_19 #non_perishable_foods_list #survival_food
#non_perishables #non_expiring_food #emergency_food

https://t.co/sYyMvvCgdy https://t.co/WYxSFotKAp",worried coronavirus want stock pantry check guide healthy,2,57
Americans Stock Up On Food as COVID-19 Concerns Rise https://t.co/FWLmJPLAin #COVID19Stockpiling https://t.co/5ZnZa5lXT6,american stock food covid concern rise stockpiling,1,50
"""ItÂs really working out. And a lot of good things are going to happen. The consumer is ready, and the consumer is so powerful in our country with what weÂve done with tax cuts and regulation cuts and all of those things."" #COVID19 #Covid_19 #StableGenius  https://t.co/tCapWlZZPP",really working lot good thing going happen consumer ready consumer powerful country done tax cut regulation cut thing,2,117
"2/3 There is no doubt that consumer behavior is different right now with heavy impacts on industries such as events, travel and hospitality. However, online touchpoints for giants like Amazon are already seeing a spike in reach alongside brands like @Clorox or @Netflix. #Covid_19",doubt consumer behavior different right heavy impact industry event travel hospitality however online touchpoints giant like amazon already seeing spike reach alongside brand like clorox netflix,2,194
1/3 How are you encouraging your clients and consumers to think past this current situation? How is your consumer journey changing? #Covid_19 #Corona,encouraging client consumer think past current situation consumer journey changing,2,82
"https://t.co/7xXZMpasJu

Dell desktops just in.Hurry while stock lasts.The prices ??.Check them out in our page ??
#UhuruKenyatta 
Naivasha
#PassarisAbortionKills 
#Covid_19 
#IkoKaziKE",dell desktop hurry stock last price check page naivasha,1,55
"Dunno if you e heard, but thereÂs this thing going around called Covid-19? ???? I thought IÂd write my first world problems about it...
https://t.co/FCLDOez0h6",dunno e heard thing going around called covid thought write first world problem,0,79
"The local Giant grocery store shortly after the governor effectively shut down Montgomery County, PA. #Covid_19 #panicbuying https://t.co/E2f23F7UzB",local giant grocery store shortly governor effectively shut montgomery county pa,2,80
When ur in line at the supermarket alongside someone who brought a sick and coughing child along for the ride. #CoronavirusPandemic #Covid_19 https://t.co/n1acvlGla3,ur line supermarket alongside someone brought sick coughing child along ride,0,76
"The psychology of consumer panic buying in the midst of the Covid-19 outbreak. #Covid_19
https://t.co/n9HpX2um7F",psychology consumer panic buying midst covid outbreak,0,53
"#TrollingForGood 
Kudos &amp; GRATITUDE to consumer protection attorney, US Rep @katieporteroc (Katie Porter) of @HouseFloor for 
citing an existing US federal law requiring CDC pay for costs of diagnostic testing for anyone when needed

#coronavirus #COVID19 #Covid_19 coronavirus",kudos amp gratitude consumer protection attorney u rep katieporteroc katie porter housefloor citing existing u federal law requiring cdc pay cost diagnostic testing anyone needed coronavirus,2,190
"Today was the most crowded I have ever seen the grocery store during #Covid_19. Maybe people heard the speech last night, and the fact we are waiting for @jaredkushner to gain knowledge on this before Trump proceeds.

I take it back, a zombie apocalypse looks better now.",today crowded ever seen grocery store maybe people heard speech last night fact waiting jaredkushner gain knowledge trump proceeds take back zombie apocalypse look better,2,170
Genuinely don't understand the point of stockpiling toilet paper. That is literally the last thing I would stockpile. Worst case scenario you just use a towel. Food is what you should be concerned about. ????,genuinely understand point stockpiling toilet paper literally last thing would stockpile worst case scenario use towel food concerned,0,133
Welp. IÂm panicking. Not about the coronavirus. Panicked that stores wonÂt have food or Tylenol for the kids etc. or that prices will be obscene. Gov needs to protect us from being gouged during this crisis. @PremierScottMoe @JustinTrudeau @SKGov #skpoli #Covid_19 #coronavirus,welp panicking not coronavirus panicked store food tylenol kid etc price obscene gov need protect u gouged crisis premierscottmoe justintrudeau skgov,0,149
"Convenience RetailerÂs #CoronaVirusUpdates #COVID2019 Can #Lysol and #Clorox products kill the #coronavirus? The answer is ... complicated https://t.co/OVX1lM8JRDÂ.  FoodService, Retail #cleanculture #Clean Convenience Store Training https://t.co/xxfiHCBtWJ",convenience retailer product kill answer complicated foodservice retail convenience store training,0,98
"I just went out in the world, &amp; there was regular commute traffic backups on the streets, plenty of people at the grocery store (TP &amp; paper towels in stock), &amp; a normal # of people at CVS. So, it seems like any other ordinary day in Northern California. ???? #Covid_19 life.",went world amp regular commute traffic backup street plenty people grocery store tp amp paper towel stock amp normal people cv seems like ordinary day northern california life,2,175
"The economic impact of Coronavirus:
Already China is experiencing disruption in industrial activities. In other parts of the world like Spain, USA and Asia oil prices are plunging and dragging down stock market.
#Covid_19 #DiscourseatUoN https://t.co/4KM7m5Q6Po",economic impact coronavirus already china experiencing disruption industrial activity part world like spain usa asia oil price plunging dragging stock market,1,157
"I've been to #Costco to grocery shop, it's armageddon, it's panic buying &amp; trolley wars, yet the mood of the store was sedate, no laughter, no talking, just people filling their trolley's to the brim. They had 400 people waiting at the doors this morning, a new record. #Covid_19",grocery shop armageddon panic buying amp trolley war yet mood store sedate laughter talking people filling trolley brim people waiting door morning new record,0,158
"In a #CNBCTV18Exclusive chat, Praveer Sinha of Tata Power says #COVID2019 has not affected coal prices https://t.co/8FbFWKc0n5",exclusive chat praveer sinha tata power say not affected coal price,2,67
"If you have a #retail store you need a #cleaning schedule. At #cannarelief #Mississauga we disinfect the payment machines, counters, door handles, several times per day and spray with #Lysol. No one comes to work ill. We have 4 #handsanitizers instore. The new normal. #Covid_19",store need schedule disinfect payment machine counter door handle several time per day spray one come work ill instore new normal,0,129
"Not a full 24hrs since Guyana declared its first #Covid_19 case and the nation is panicking.

Pharmacies and other sellers of cleaning agents have quadrupled prices.

Misinformation is rampant and the public health ministry is not doing enough to bring about a sense of calm.",not full hr since guyana declared first case nation panicking pharmacy seller cleaning agent quadrupled price misinformation rampant public health ministry not enough bring sense calm,0,183
"It was pretty metal at the grocery store today.
#Covid_19",pretty metal grocery store today,2,32
Private companies are using the #Covid_19 crises to extort the public.  Price-gouging during times of crises is unethical and you as the consumer should take note of who did what in your time of need.,private company using crisis extort public price gouging time crisis unethical consumer take note time need,0,107
"There was no meat at my local supermarket yesterday and very few packages of pasta. At the end of the day Portugal should be ashamed! This is shameful and this needs to be shown. Again, it's important to be safe from the #Covid_19, but don't panic, that will get us nowhere.",meat local supermarket yesterday package pasta end day portugal ashamed shameful need shown important safe panic get u nowhere,0,126
"Everyone is out there buying toilet paper and canned food but if I am stuck at home, I am going to stock up on things I love - wine, Epsom salts and chocolate! #coronavirus #COVID19 #icansurviveonchocolate",everyone buying toilet paper canned food stuck home going stock thing love wine epsom salt chocolate,2,100
Today my mother tried to barter her chicken for toilet paper in our local grocery store. She was successful. Not sure if IÂm proud or horrified. #coronavirus,today mother tried barter chicken toilet paper local grocery store successful not sure proud horrified,0,102
"If you wander into a supermarket this week, be nice to the shop assistant - theyÂve been dealing with nothing but shitehawks for days now #Covid_19 #coronavirus #bekind",wander supermarket week nice shop assistant dealing nothing shitehawks day,2,74
"I think online shopping has a great future

Fuck you #Covid_19",think online shopping great future fuck,2,39
Bet all the elderly people who are maybe already struggling to get shopping as it is with all the panic buying just love when a random stranger stops to take a pic of them to post online for likes and shares. Imagine that was your Gran?????????? #thinkaboutit #coronavirus,bet elderly people maybe already struggling get shopping panic buying love random stranger stop take pic post online like share imagine gran,2,140
"We dont have enough test available. We don't have designated trailers available for quarantine patients. Did you even tell people to save money because the stock market is tanking. And people on self quarantine for two weeks may need assistance for Bill's and food
#Covid_19 3/6",dont enough test available designated trailer available quarantine patient even tell people save money stock market tanking people self quarantine two week may need assistance bill food,2,185
"The fact that you can't get tested in many places for #Covid_19 without answering yes to ""have you been in contact with anyone from China, South Korea, or Italy"" is an absurdity. How would you even know? Personally, I don't ask everyone at the grocery store where they've been.",fact get tested many place without answering yes contact anyone china south korea italy absurdity would even know personally ask everyone grocery store,0,151
Going to the grocery store was v dystopian like all I wanted was some broccoli and I left with severe anxiety. #Covid_19,going grocery store v dystopian like wanted broccoli left severe anxiety,0,72
"This week my dad went to the grocery store and was followed (unintentionally) around the store by a man who was coughing the entire time. DonÂt do this, people! #Covid_19",week dad went grocery store followed unintentionally around store man coughing entire time people,1,97
Just got back from a major retail store and the majority of the water bottles are out #Covid_19 https://t.co/ksNyF6E3kK,got back major retail store majority water bottle,1,49
All this proves is that the world could run at a lesser cost if we wanted. These people literally define prices by demand. Is this not a joke? #Covid_19,prof world could run lesser cost wanted people literally define price demand not joke,0,85
"Dear folks... Buying pasta, chopped tomatoes and bog roll, won't protect you from Coronavirus. Crazy what I've just witnessed in the local supermarket. Absolute fannies #CoronavirusPandemic #CoronaVirusUpdate #CoronaOutbreak #Covid_19",dear folk buying pasta chopped tomato bog roll protect coronavirus crazy witnessed local supermarket absolute fanny,2,115
"3h into the #Norway - #Covid_19  shutdown. I get to the store to grab some milk. There are a billion cars outside the little grocery store and people are freaking out inside, buying everything between heaven and earth. Best thing is -the grocery stores aren't even shutting down.",h shutdown get store grab milk billion car outside little grocery store people freaking inside buying everything heaven earth best thing grocery store even shutting,2,164
"This #CoronavirusPandemic is having a drastic effect on the sick and elderly. No-one wants to visit them. The isolated, lonely &amp; vulnerable are becoming even more so, &amp; they are mostly excluded from online shopping, advice, support and information.
#ageuk #loneliness #CoronaVirus https://t.co/8JPtgt3FcM",drastic effect sick elderly one want visit isolated lonely amp vulnerable becoming even amp mostly excluded online shopping advice support information,0,150
In case youÂre wondering if people are losing their minds at the grocery store... they are! #Covid_19 #yikes https://t.co/emalSi4695,case wondering people losing mind grocery store,0,47
"@BernieSanders Tell the ppl be smart MAKE hand sanitizer w isopropyl alcohol 70% &amp; aloe vera when in public.

Go to grocery store when they open so there's nobody there OR before close. Basically avoid high traffic areas or busy times #Covid_19 sp",berniesanders tell ppl smart make hand sanitizer w isopropyl alcohol amp aloe vera public go grocery store open nobody close basically avoid high traffic area busy time sp,2,171
"During the #covid_19 bubble times, the best investment is flight tickets. Just have a look at the prices.",bubble time best investment flight ticket look price,2,52
"US consumer prices unexpectedly rose in February but could drop in months ahead as COVID-19 depresses demand for some goods &amp; services, outweighing price increases related to shortages caused by disruptions to supply chain.
https://t.co/ta4GzWk3nx",u consumer price unexpectedly rose february could drop month ahead covid depresses demand good amp service outweighing price increase related shortage caused disruption supply chain,0,181
ThereÂs def gatherings of more than 100 people in every supermarket in the country rn?? close all schools and colleges but letÂs all go shop at the same time and stand right beside each other in queues ????? #Covid_19,def gathering people every supermarket country rn close school college let go shop time stand right beside queue,1,112
"People are flooding supermarkets, touching the same baskets, touching products and putting them back, crowding small places. We donÂt have a system as a society to buy stuff in the supermarket safely in case of a virus like #Covid_19",people flooding supermarket touching basket touching product putting back crowding small place system society buy stuff supermarket safely case virus like,2,154
"Now is the time for @netflix @PrimeVideo and others to lower their prices and get some new people in. Be forthcoming in this time of recommended social distancing. It will be a smart ""investment"" in the long run.
#COVID19 #CoronavirusPandemic #Covid_19 #Netflix #PrimeVideo",time netflix primevideo others lower price get new people forthcoming time recommended social distancing smart investment long run,2,130
@shereka45482005 @JamaicaObserver Hope they also limiting the how they hike up the prices of products that are currently in demand ? twice and three times the original price is not beneficial to all in a crisis situation. Spare a thought for those who wil,shereka jamaicaobserver hope also limiting hike price product currently demand twice three time original price not beneficial crisis situation spare thought wil,0,160
"My local supermarket looks like it's been looted with how people are panic buying over #Covid_19.

Calm down. Shops aren't closing down, they're still gonna be supplied.",local supermarket look like looted people panic buying calm shop closing still gonna supplied,2,93
"This could be all the work of China and Russia(oil prices) to hurt Trump, it's not like these Communists haven't killed millions of their own people for political reasons before.

 @realDonaldTrump.

Change my mind. 

#CoronavirusPandemic #Covid_19 #COVD19
https://t.co/pCRZh0a7Um",could work china russia oil price hurt trump not like communist killed million people political reason realdonaldtrump change mind,0,130
"*offer rides to grocery store and/or pharmacy. 
If you donÂt have a car, offer to help pay for a taxi and assist them in carrying enough supplies to last a quarantine. 
#MutualAid #Corvid19 #coronavirus",offer ride grocery store pharmacy car offer help pay taxi assist carrying enough supply last quarantine,2,103
We donÂt know when or how #coronavirus will end. We do know that uncertainty should not be preyed upon. https://t.co/unuGILCzJG https://t.co/ha6ubHb0EL,know end know uncertainty not preyed upon,0,41
How do you think companies like Facebook and Amazon are doing in the fight to combat #Coronavirus misinformation? The challenging work reveals current limitations. #Covid_19  https://t.co/902UjHuQxr,think company like facebook amazon fight combat misinformation challenging work reveals current limitation,0,106
"Here's a novel idea... there is panic that the healthcare system, paid family leave and systems for food security can't handle the influx that's about to happen, but what if we had already had those in place?Think of the amount of fear that would be decreased. #Covid_19 https://t.co/M9bqTgtSXV",novel idea panic healthcare system paid family leave system food security handle influx happen already place think amount fear would decreased,0,142
To those of us who find a stocked supermarket &amp; can afford it: please buy dried &amp; tinned food &amp; long life milk to put in the foodbank basket. Foodbanks &amp; their clients are suffering. Hoarding leads to the greedy taking food from the poorest.#Covid_19,u find stocked supermarket amp afford please buy dried amp tinned food amp long life milk put foodbank basket foodbanks amp client suffering hoarding lead greedy taking food poorest,0,181
Great prices on flights to Costa Rica right now due to the #Covid_19 sales https://t.co/XD0JjE7BO0,great price flight costa rica right due sale,2,44
Nobody in the food industry is talking about stock outages or shortages. There will be food in the shops. No need to panic buy. #Covid_19,nobody food industry talking stock outage shortage food shop need panic buy,0,75
Trump's bumbling teleprompter reading did not instill confidence. The American people are panicking. Grocery store was MUCH busier than normal for a Thursday afternoon. Cashier said it had been going on all day. Gas station busy. It will only get worse. #TrumpResign #Covid_19,trump bumbling teleprompter reading not instill confidence american people panicking grocery store much busier normal thursday afternoon cashier said going day gas station busy get worse,0,186
"Before the coronavirus is too severe where you live, do these things:
- Stock up on food
- Get your annual health exam
- Get your taxes done
- Keep your gas tank on full
- Buy a few pocket sanitizers

Be a safe citizen. Try to stay home if you have a cold or flu. #Covid_19",coronavirus severe live thing stock food get annual health exam get tax done keep gas tank full buy pocket sanitizers safe citizen try stay home cold flu,0,153
"Hi everyone. If you are panic buying and ending up with more than you need, you should think about returning it. Many of us haven't been so selfish and now can't buy toilet roll or dry food at all #Covid_19",hi everyone panic buying ending need think returning many u selfish buy toilet roll dry food,0,92
And now this:  Ontario confirms 17 new cases of corona virus - this has to be the biggest one day increase.   One of the cases is a baby boy.   Total cases in province is now 59 #onpoli,ontario confirms new case corona virus biggest one day increase one case baby boy total case province,2,101
Local food banks are bracing for increased demand thanks to COVID-19 https://t.co/mKqTLavQtB https://t.co/f0k2AAH5tm,local food bank bracing increased demand thanks covid,2,53
My reaction to when the toilet roll and hand soap shelves are empty in the supermarket #Covid_19 #CoronavirusPandemic #reaction #COVD19 #ThursdayThoughts https://t.co/clhcWXVMsA,reaction toilet roll hand soap shelf empty supermarket,2,54
@ShopprsDrugMart has decided that in the face of #Covid_19 that they should raise toilet paper &amp; diaper prices. Good to know corporations are still acting in the best interests of their pocketbooks. https://t.co/aAQ7FtaANP,shopprsdrugmart decided face raise toilet paper amp diaper price good know corporation still acting best interest pocketbook,2,124
"One way of looking out for neighbors , both young &amp; old ,  during this time is to NOT stock pile goods and leave them without food.
#CoronavirusPandemic #Covid_19 #CoronaOutbreak https://t.co/cnzmyqxNm5",one way looking neighbor young amp old time not stock pile good leave without food,0,82
